"Block"	"Trial"	"FaceFilename"	"WordFilename"	"FaceRace"	"Fix"	"WordValence"	"Condition"	"RT"	"Key"	"Error"	"Subno"	"Congruent"
2	87	"C:\Hannah's FYP\White11_neu.jpg"	"love"	"White"	"eyes"	"Pos"	222	698	2	0	1	"Con"
2	88	"C:\Hannah's FYP\White6_neu.jpg"	"beauty"	"White"	"forehead"	"Pos"	212	463	2	0	1	"Con"
2	89	"C:\Hannah's FYP\Black12_neu.jpg"	"vomit"	"Black"	"eyes"	"Neg"	121	998	1	0	1	"Con"
2	90	"C:\Hannah's FYP\White19_neu.jpg"	"love"	"White"	"nose"	"Pos"	232	747	2	0	1	"Con"
2	91	"C:\Hannah's FYP\White3_neu.jpg"	"success"	"White"	"forehead"	"Pos"	212	1149	2	0	1	"Con"
2	92	"C:\Hannah's FYP\Black20_neu.jpg"	"joy"	"Black"	"nose"	"Pos"	132	610	2	0	1	"Incon"
2	93	"C:\Hannah's FYP\White12_neu.jpg"	"cockroach"	"White"	"eyes"	"Neg"	221	738	1	0	1	"Incon"
2	94	"C:\Hannah's FYP\Black14_neu.jpg"	"sewage"	"Black"	"eyes"	"Neg"	121	652	1	0	1	"Con"
2	95	"C:\Hannah's FYP\Black22_neu.jpg"	"vomit"	"Black"	"nose"	"Neg"	131	592	1	0	1	"Con"
2	96	"C:\Hannah's FYP\White12_neu.jpg"	"beauty"	"White"	"eyes"	"Pos"	222	641	2	0	1	"Con"
2	97	"C:\Hannah's FYP\White13_neu.jpg"	"paradise"	"White"	"eyes"	"Pos"	222	640	2	0	1	"Con"
2	98	"C:\Hannah's FYP\White8_neu.jpg"	"sewage"	"White"	"forehead"	"Neg"	211	1495	1	0	1	"Incon"
2	99	"C:\Hannah's FYP\Black23_neu.jpg"	"smile"	"Black"	"nose"	"Pos"	132	502	2	0	1	"Incon"
2	100	"C:\Hannah's FYP\White4_neu.jpg"	"love"	"White"	"forehead"	"Pos"	212	1835	2	0	1	"Con"
2	101	"C:\Hannah's FYP\White15_neu.jpg"	"romance"	"White"	"eyes"	"Pos"	222	543	2	0	1	"Con"
2	102	"C:\Hannah's FYP\Black13_neu.jpg"	"poison"	"Black"	"eyes"	"Neg"	121	546	1	0	1	"Con"
2	103	"C:\Hannah's FYP\White3_neu.jpg"	"romance"	"White"	"forehead"	"Pos"	212	733	2	0	1	"Con"
2	104	"C:\Hannah's FYP\White14_neu.jpg"	"garbage"	"White"	"eyes"	"Neg"	221	653	1	0	1	"Incon"
2	105	"C:\Hannah's FYP\Black22_neu.jpg"	"pest"	"Black"	"nose"	"Neg"	131	2060.18353827802	1	0	1	"Con"
2	106	"C:\Hannah's FYP\White2_neu.jpg"	"sewage"	"White"	"forehead"	"Neg"	211	534	1	0	1	"Incon"
2	107	"C:\Hannah's FYP\White7_neu.jpg"	"joy"	"White"	"forehead"	"Pos"	212	754	2	0	1	"Con"
2	108	"C:\Hannah's FYP\Black24_neu.jpg"	"despair"	"Black"	"nose"	"Neg"	131	633	1	0	1	"Con"
2	109	"C:\Hannah's FYP\Black1_neu.jpg"	"romance"	"Black"	"forehead"	"Pos"	112	824	2	0	1	"Incon"
2	110	"C:\Hannah's FYP\White14_neu.jpg"	"cockroach"	"White"	"eyes"	"Neg"	221	700	1	0	1	"Incon"
2	111	"C:\Hannah's FYP\White10_neu.jpg"	"poison"	"White"	"eyes"	"Neg"	221	744	1	0	1	"Incon"
