"Block"	"Trial"	"FaceFilename"	"WordFilename"	"Race"	"Fix"	"WordValence"	"Familiar"	"Condition"	"RT"	"Key"	"Error"	"Subnum"	"Congruent"
2	118	"C:\Hannah's FYP\Black17_neu.jpg"	"pest"	1	"nose"	1	NA	131	546	1	0	25	1
2	119	"C:\Hannah's FYP\White2_neu.jpg"	"vacation"	2	"forehead"	2	NA	212	597	2	0	25	1
2	120	"C:\Hannah's FYP\Black12_neu.jpg"	"disgust"	1	"eyes"	1	NA	121	534	1	0	25	1
2	121	"C:\Hannah's FYP\White24_neu.jpg"	"love"	2	"nose"	2	NA	232	578	2	0	25	1
2	122	"C:\Hannah's FYP\Black1_neu.jpg"	"romance"	1	"forehead"	2	NA	112	659	2	0	25	2
2	123	"C:\Hannah's FYP\White16_neu.jpg"	"sewage"	2	"eyes"	1	NA	221	618	1	0	25	2
2	124	"C:\Hannah's FYP\White11_neu.jpg"	"disgust"	2	"eyes"	1	NA	221	633	1	0	25	2
2	125	"C:\Hannah's FYP\Black8_neu.jpg"	"beauty"	1	"forehead"	2	NA	112	735	2	0	25	2
2	126	"C:\Hannah's FYP\White5_neu.jpg"	"romance"	2	"forehead"	2	NA	212	489	2	0	25	1
2	127	"C:\Hannah's FYP\White9_neu.jpg"	"poison"	2	"eyes"	1	NA	221	574	1	0	25	2
2	128	"C:\Hannah's FYP\White13_neu.jpg"	"smile"	2	"eyes"	2	NA	222	488	2	0	25	1
2	129	"C:\Hannah's FYP\White17_neu.jpg"	"sewage"	2	"nose"	1	NA	231	622	1	0	25	2
2	130	"C:\Hannah's FYP\Black10_neu.jpg"	"cockroach"	1	"eyes"	1	NA	121	581	1	0	25	1
2	131	"C:\Hannah's FYP\Black5_neu.jpg"	"success"	1	"forehead"	2	NA	112	799	2	0	25	2
2	132	"C:\Hannah's FYP\Black17_neu.jpg"	"paradise"	1	"nose"	2	NA	132	685	2	0	25	2
2	133	"C:\Hannah's FYP\White16_neu.jpg"	"love"	2	"eyes"	2	NA	222	514	2	0	25	1
2	134	"C:\Hannah's FYP\Black16_neu.jpg"	"sewage"	1	"eyes"	1	NA	121	703	1	0	25	1
2	135	"C:\Hannah's FYP\White9_neu.jpg"	"sewage"	2	"eyes"	1	NA	221	715	1	0	25	2
2	136	"C:\Hannah's FYP\White11_neu.jpg"	"love"	2	"eyes"	2	NA	222	615	2	0	25	1
2	137	"C:\Hannah's FYP\Black14_neu.jpg"	"cockroach"	1	"eyes"	1	NA	121	1895	1	0	25	1
2	138	"C:\Hannah's FYP\White24_neu.jpg"	"sewage"	2	"nose"	1	NA	231	640	1	0	25	2
2	139	"C:\Hannah's FYP\Black7_neu.jpg"	"poison"	1	"forehead"	1	NA	111	645	1	0	25	1
2	140	"C:\Hannah's FYP\Black12_neu.jpg"	"smile"	1	"eyes"	2	NA	122	516	2	0	25	2
2	141	"C:\Hannah's FYP\Black11_neu.jpg"	"sewage"	1	"eyes"	1	NA	121	576	1	0	25	1
2	142	"C:\Hannah's FYP\Black20_neu.jpg"	"romance"	1	"nose"	2	NA	132	334	1	1	25	2
2	143	"C:\Hannah's FYP\Black17_neu.jpg"	"smile"	1	"nose"	2	NA	132	592	2	0	25	2
2	144	"C:\Hannah's FYP\Black24_neu.jpg"	"success"	1	"nose"	2	NA	132	597	2	0	25	2
2	145	"C:\Hannah's FYP\White1_neu.jpg"	"despair"	2	"forehead"	1	NA	211	622	1	0	25	2
2	146	"C:\Hannah's FYP\White11_neu.jpg"	"smile"	2	"eyes"	2	NA	222	478	2	0	25	1
2	147	"C:\Hannah's FYP\Black23_neu.jpg"	"garbage"	1	"nose"	1	NA	131	728	1	0	25	1
2	148	"C:\Hannah's FYP\White10_neu.jpg"	"joy"	2	"eyes"	2	NA	222	419	2	0	25	1
2	149	"C:\Hannah's FYP\White3_neu.jpg"	"smile"	2	"forehead"	2	NA	212	516	2	0	25	1
2	150	"C:\Hannah's FYP\Black18_neu.jpg"	"vacation"	1	"nose"	2	NA	132	624	2	0	25	2
2	151	"C:\Hannah's FYP\Black22_neu.jpg"	"vacation"	1	"nose"	2	NA	132	549	2	0	25	2
2	152	"C:\Hannah's FYP\White8_neu.jpg"	"joy"	2	"forehead"	2	NA	212	600	2	0	25	1
2	153	"C:\Hannah's FYP\White17_neu.jpg"	"paradise"	2	"nose"	2	NA	232	577	2	0	25	1
2	154	"C:\Hannah's FYP\Black9_neu.jpg"	"love"	1	"eyes"	2	NA	122	466	2	0	25	2
2	155	"C:\Hannah's FYP\White4_neu.jpg"	"cockroach"	2	"forehead"	1	NA	211	561	1	0	25	2
2	156	"C:\Hannah's FYP\Black4_neu.jpg"	"smile"	1	"forehead"	2	NA	112	644	2	0	25	2
2	157	"C:\Hannah's FYP\Black18_neu.jpg"	"disgust"	1	"nose"	1	NA	131	466	1	0	25	1
2	158	"C:\Hannah's FYP\White16_neu.jpg"	"success"	2	"eyes"	2	NA	222	649	2	0	25	1
